identificador|identificador|suffix_url|pasta_imagens|titulo|nome_curto|subtitulo|quantidade_inicial|quantidade_vendida|preco_unitario|desconto_todas_unidades|descricao_detalhada|url_contato_vendedor|texto_contato_vendedor|info_extra
box-cama-travesseiros|box-cama-travesseiros|box-cama-travesseiros|box-cama-travesseiros|Cama box e colchão separado Umatex casal|Cama box e colchão|Box e colchão separados (não é conjugado)|1|0|400.00|0.00|Cama box, colchão e 2 travesseiros. A cama e o colchão são separados, o que permite a troca do colchão quando for necessário, sem ter que comprar outra cama box (base).<br><br>O colchão sempre foi girado e virado ao contrário a cada 15 dias, conforme orientação de fábrica.<br><br>O colchão é D26, que é superior a todas as densidades com numeração inferior, como D23 e D20. Tanto o colchão quanto a base são da marca Umaflex.<br><br><font color='red'>Compre 3 kits de colcha com fronha e um lençol elástico junto por apenas <b>R$ 120,00</b></font>. <br><i>Veja as especificações da base da cama, do colchão, dos kits de colchas e do lençol abaixo.</i>|https://wa.me/5592994029976|Falar com Gustavo|
tacho|tacho|tacho|tacho|Tacho em alumínio|Tacho|Praticamente nunca usado. É um tacho grande, de 9 litros, com 35 cm na parte maior redonda.|1|0|50.00|0.00|Usado poucas vezes, praticamente novo. O tacho tem 38cm de diâmetro e 13cm de altura.|https://wa.me/5592994029976|Falar com Gustavo|
roupeiro|roupeiro|roupeiro|roupeiro|Guarda roupas com 6 portas|Guarda roupas|Leve junto um armário multiuso e um balcão de cozinha por mais R$40|1|0|110.00|0.00|6 portas e 2 gavetas. Altura: 181 cm, Largura: 149 cm, Profundidade: 47 cm e Peso: 60,80 kg.<br><br>As portas estão um pouco desalinhadas, mas funcionando normalmente. A segunda gaveta também está desalinhada, mas está pegando na hora de abrir.<br><br><font color='red'>Compre junto um armário multiuso e um balcão de cozinha por apenas R$40, totalizando em R$ 150 os 3 itens.</b></font>|https://wa.me/5592994029976|Falar com Gustavo|
fragmentadora|fragmentadora|fragmentadora|fragmentadora|Fragmentadora/picotadora de papéis, cartões de crédito e CD/DVD|Fragmentadora|Forte e capaz de fragmentar 6 folhas simultaneamente|1|0|70.00|0.00|Funcionado perfeitamente. Ótima para ser usada para picotar documentos que contêm informações pessoais que podem ser usadas de forma maliciosa ao serem encontradas no lixo, como nome, endereço, CPF e afins, incluindo cartas, contratos, contas de consumo antigas e outras. Serve também para cortar cartões de crédito antes de jogar fora. Bom também para empresas que trabalham com dados pessoais de seus clientes, para evitar vazamento de dados.|https://wa.me/5592994029976|Falar com Gustavo|
prateleira-impressora|prateleira-impressora|prateleira-impressora|prateleira-impressora|Prateleira fixa em MDF|Prateleira 55x45x6|Utilizada atualmente de suporte para impressora|1|0|25.00|0.00|Prateleira sem problemas. Tem 55cm de largura, 45cm de profundidade e 6cm de altura (cada MDF com 1,5cm)|https://wa.me/5592994029976|Falar com Gustavo|
prateleira-livros|prateleira-livros|prateleira-livros|prateleira-livros|Prateleira fixa em MDF de 2 metros (boa para livros)|Prateleira de 2m para livros|Utilizada atualmente de suporte para livros|1|0|45.00|0.00|Prateleira sem problemas. Tem 2 metros de largura, 20 cm de profundidade e 6cm de altura (cada MDF com 1,5cm)|https://wa.me/5592994029976|Falar com Gustavo|
secadora-de-salada|secadora-de-salada|secadora-de-salada|secadora-de-salada|Secadora Centrifuga de Folhas e Salada|Secadora de folhas|Seca as folhas da salada para conservar por mais tempo na geladeira|1|0|10.00|0.00||https://wa.me/5592994029976|Falar com Gustavo|
cuscuzeira-preta|cuscuzeira-preta|cuscuzeira-preta|cuscuzeira-preta|Cuscuzeira preta grande|Cuscuzeira grande|Cuscuzeira de 2,4L|1|0|15.00|0.00|18P x 16L x 18A centímetros |https://wa.me/5592994029976|Falar com Gustavo|
cuscuzeira-prata-individual|cuscuzeira-prata-individual|cuscuzeira-prata-individual|cuscuzeira-prata-individual|Cuscuzeira prata individual|Cuscuzeira individual||1|0|10.00|0.00||https://wa.me/5592994029976|Falar com Gustavo|
ventiladorzinho|ventiladorzinho|ventiladorzinho|ventiladorzinho|Mini ventilador Ventisol 20cm com clipe para fixação|Mini ventilador|Ideal para pequenos espaços|1|0|30.00|0.00|Peso do Produto: 662 gramas. Medidas: C x L x A (mm) 210x160x210|https://wa.me/5592994029976|Falar com Gustavo|
tela |tela |tela |tela |Tela de mosquito branca com velcro adesivo 1,5x1,5m|Tela mosquiteira|Tela mosquiteira fácil de tirar|1|0|35.00|0.00|Mais informações no link abaixo de onde comprei.|https://wa.me/5592994029976|Falar com Gustavo|
suspensos|suspensos|suspensos|suspensos|Armário suspenso com pistão de sustentação com uma porta|Armário suspenso de uma porta|Armário aéreo|5|2|90.00|0.00|Largura de 80cm, 40cm de altura e 32cm de profundidade. <font color=''>Compre todas as unidades restantes e ganhe 3 pistões <b>NOVOS</b></font>|https://wa.me/5592994029976|Falar com Gustavo|
galao-yara|galao-yara|galao-yara|galao-yara|Refil de água Yara 20L (válido até outubro)|Galão de água|Galão de água de 20L vazio|2|0|15.00|5.00|Galão Yara|https://wa.me/5592994029976|Falar com Gustavo|
suporte-galao|suporte-galao|suporte-galao|suporte-galao|Suporte para galão de água 20L com torneira|Suporte para galão de água|Suporte de plástico com torneira para água|1|0|15.00|0.00|Suporte para galão de água|https://wa.me/5592994029976|Falar com Gustavo|
mesinha|mesinha|mesinha|mesinha|Mesa de canto de ferro e vidro 40x40x40cm|Mesinha de canto|Ideal para colocar objetos ao lado da cama e para outros fins|1|0|80.00|0.00|Mesinha de vidro em bom estado|https://wa.me/5592994029976|Falar com Gustavo|
furadeira|furadeira|furadeira|furadeira|Furadeira Black+Decker 560W com função reversa, martelete e parafusadeira|Furadeira|Furadeira e parafusadeira bem conservada|01|0|140.00|0.00|Com itens inclusos: Empunhadeira lateral, mandril e limitador de profundidade|https://wa.me/5592994029976|Falar com Gustavo|
mixer|mixer|mixer|mixer|Mixer Mondial M-13 (velho mas funcionando)|Mixer Mondial|Funcionando normalmente|1|0|15.00|0.00|350W 37cm|https://wa.me/5592994029976|Falar com Gustavo|
